-90;-67.5;-45;-22.5;0;22.5;45;67.5;90
690;727;980;919;1055;1127;1132;1183;1327
672;707;939;975;1004;1150;1140;1212;1327
706;815;1008;996;1024;1135;1090;1200;1324
655;816;978;991;1024;1142;1151;1196;1312
687;740;912;975;1024;1119;1088;1206;1352
704;723;943;959;1004;1090;1150;1220;1328
671;748;991;1020;1047;1120;1088;1135;1342
710;767;960;988;1002;1106;1112;1190;1324
671;815;982;962;1024;1144;1119;1199;1303
640;768;1055;1007;1055;1135;1071;1215;1304
672;768;944;984;1023;1098;1129;1175;1283
703;735;960;967;1024;1130;1144;1186;1280
695;776;1003;1004;1003;1154;1135;1167;1296
688;751;959;1007;1055;1102;1094;1204;1330
722;816;960;976;1024;1166;1136;1212;1286
647;799;918;994;1024;1090;1100;1228;1312
704;778;959;964;1011;1144;1143;1184;1312
672;784;975;1007;1047;1104;1092;1155;1311
687;815;915;972;1047;1152;1136;1152;1346
695;834;911;990;1031;1120;1112;1200;1327
720;743;918;1006;1008;1111;1151;1224;1341
642;767;972;1002;1055;1151;1088;1200;1306
672;776;915;938;1002;1130;1090;1196;1330
672;828;970;960;1035;1135;1120;1204;1288
736;815;927;1014;1032;1150;1092;1168;1298
672;780;928;975;1024;1154;1108;1230;1284
684;815;988;996;1014;1098;1088;1199;1350
639;739;903;988;1024;1123;1119;1199;1316
656;815;960;946;1024;1136;1136;1188;1349
690;815;980;1022;1039;1108;1120;1210;1348
690;800;960;1008;1055;1104;1112;1152;1320
719;788;988;984;1054;1120;1135;1174;1285
688;814;979;962;1055;1152;1088;1215;1295
671;770;928;1022;1031;1151;1108;1167;1348
655;816;935;992;1024;1136;1096;1229;1298
643;830;968;1007;1024;1152;1135;1156;1316
667;767;975;1000;1011;1095;1128;1183;1311
732;767;968;951;1031;1143;1150;1159;1287
671;847;972;978;1024;1094;1122;1152;1334
672;832;1003;967;1002;1120;1136;1199;1319
658;828;996;1024;1054;1103;1150;1184;1335
719;826;928;1023;1024;1140;1092;1183;1336
704;786;927;1020;1055;1130;1120;1172;1324
658;783;964;1024;1024;1164;1151;1159;1298
672;783;980;960;1024;1136;1108;1208;1303
724;776;980;1000;1055;1098;1120;1168;1356
671;768;918;968;1024;1127;1120;1199;1359
676;822;985;1007;1024;1140;1134;1214;1290
688;800;984;983;1054;1103;1104;1168;1336
719;816;982;946;1031;1130;1088;1204;1312
704;767;991;1015;1047;1167;1132;1224;1338
674;827;990;1038;1039;1099;1092;1184;1358
642;768;911;1023;1034;1130;1091;1176;1350
703;858;1000;992;1024;1119;1104;1152;1311
672;844;910;1040;1028;1104;1135;1158;1336
672;820;984;1012;1024;1132;1128;1167;1311
672;784;976;975;1034;1098;1108;1185;1330
724;775;991;992;1024;1103;1098;1139;1328
735;767;944;1024;1024;1176;1096;1215;1284
680;828;934;1023;1024;1152;1120;1168;1327
704;720;943;1007;1024;1104;1088;1184;1287
716;768;919;991;1055;1158;1090;1200;1350
744;770;927;1007;1004;1140;1120;1194;1360
738;783;944;1036;1024;1120;1136;1152;1343
751;776;923;995;1039;1128;1140;1154;1327
655;759;984;1000;1031;1151;1124;1215;1344
712;800;944;1048;1024;1110;1134;1231;1343
704;755;946;992;1024;1088;1103;1167;1327
678;770;938;1038;1024;1100;1148;1183;1341
652;800;940;982;1024;1136;1138;1152;1303
732;784;959;1018;1023;1151;1151;1155;1335
703;763;939;1024;1024;1152;1124;1170;1338
672;759;976;994;1039;1124;1112;1215;1286
687;751;1000;996;1015;1135;1088;1156;1320
671;800;996;992;1039;1063;1136;1196;1356
671;815;992;1044;1039;1167;1151;1154;1332
672;767;927;971;1032;1135;1135;1214;1359
671;783;943;1039;1071;1119;1120;1214;1342
646;831;927;960;1036;1072;1103;1188;1294
744;771;927;1024;1024;1074;1144;1152;1290
704;832;928;1034;1024;1087;1143;1214;1336
656;800;1006;978;1024;1079;1128;1147;1354
704;786;960;992;1024;1103;1119;1199;1312
704;769;943;1038;1024;1108;1103;1172;1332
647;778;984;960;1024;1103;1091;1168;1312
704;771;938;1064;1024;1047;1124;1192;1338
735;842;996;1023;1024;1126;1104;1244;1302
720;763;928;992;1047;1106;1088;1184;1343
